[0.000000] (-) TimerEvent: {}
[0.000169] (my_world) JobQueued: {'identifier': 'my_world', 'dependencies': OrderedDict()}
[0.000196] (nav2_system) JobQueued: {'identifier': 'nav2_system', 'dependencies': OrderedDict()}
[0.000206] (provide_map) JobQueued: {'identifier': 'provide_map', 'dependencies': OrderedDict()}
[0.000214] (slam) JobQueued: {'identifier': 'slam', 'dependencies': OrderedDict()}
[0.000221] (robo_entrega) JobQueued: {'identifier': 'robo_entrega', 'dependencies': OrderedDict([('my_world', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world'), ('nav2_system', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system'), ('provide_map', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map'), ('slam', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam')])}
[0.000235] (my_world) JobStarted: {'identifier': 'my_world'}
[0.007600] (nav2_system) JobStarted: {'identifier': 'nav2_system'}
[0.016056] (provide_map) JobStarted: {'identifier': 'provide_map'}
[0.022581] (slam) JobStarted: {'identifier': 'slam'}
[0.038507] (my_world) JobProgress: {'identifier': 'my_world', 'progress': 'cmake'}
[0.046839] (my_world) JobProgress: {'identifier': 'my_world', 'progress': 'build'}
[0.046974] (my_world) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world', '--', '-j10', '-l10'], 'cwd': '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'es:en'), ('USER', 'haoxu'), ('LC_TIME', 'es_ES.UTF-8'), ('SSH_AGENT_PID', '1354'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/galactic/opt/yaml_cpp_vendor/lib:/opt/ros/galactic/opt/rviz_ogre_vendor/lib:/opt/ros/galactic/lib/x86_64-linux-gnu:/opt/ros/galactic/lib'), ('HOME', '/home/haoxu'), ('OLDPWD', '/home/haoxu'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'es_ES.UTF-8'), ('MANAGERPID', '1149'), ('ROS_LOG_DIR', '/home/haoxu/my_logs'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('COLCON_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install:/home/haoxu/turtlebot3_ws/install'), ('ROS_DISTRO', 'galactic'), ('LOGNAME', 'haoxu'), ('JOURNAL_STREAM', '8:34032'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'haoxu'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/src/turtlebot3_simulations/turtlebot3_gazebo/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/galactic/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('SESSION_MANAGER', 'local/haoxu-VirtualBox:@/tmp/.ICE-unix/1434,unix/haoxu-VirtualBox:/tmp/.ICE-unix/1434'), ('INVOCATION_ID', '5079d081fc6e4e73a462acecc5599bb0'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'es_ES.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/2514e317_785d_482b_9a71_3d754e4734fe'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'es_ES.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'es_ES.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.156'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('ROS_DOMAIN_ID', '1'), ('AMENT_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/opt/ros/galactic'), ('SHELL', '/bin/bash'), ('LC_NAME', 'es_ES.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'es_ES.UTF-8'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'es_ES.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system/lib/python3.8/site-packages:/opt/ros/galactic/lib/python3.8/site-packages'), ('LC_NUMERIC', 'es_ES.UTF-8'), ('LC_PAPER', 'es_ES.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6003'), ('CMAKE_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/opt/ros/galactic')]), 'shell': False}
[0.099195] (-) TimerEvent: {}
[0.199928] (-) TimerEvent: {}
[0.305752] (-) TimerEvent: {}
[0.343777] (my_world) StdoutLine: {'line': b'[100%] Built target turtlebot3_drive\n'}
[0.405990] (-) TimerEvent: {}
[0.491444] (my_world) CommandEnded: {'returncode': 0}
[0.492895] (my_world) JobProgress: {'identifier': 'my_world', 'progress': 'install'}
[0.502247] (my_world) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world'], 'cwd': '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'es:en'), ('USER', 'haoxu'), ('LC_TIME', 'es_ES.UTF-8'), ('SSH_AGENT_PID', '1354'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/galactic/opt/yaml_cpp_vendor/lib:/opt/ros/galactic/opt/rviz_ogre_vendor/lib:/opt/ros/galactic/lib/x86_64-linux-gnu:/opt/ros/galactic/lib'), ('HOME', '/home/haoxu'), ('OLDPWD', '/home/haoxu'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'es_ES.UTF-8'), ('MANAGERPID', '1149'), ('ROS_LOG_DIR', '/home/haoxu/my_logs'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('COLCON_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install:/home/haoxu/turtlebot3_ws/install'), ('ROS_DISTRO', 'galactic'), ('LOGNAME', 'haoxu'), ('JOURNAL_STREAM', '8:34032'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'haoxu'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/src/turtlebot3_simulations/turtlebot3_gazebo/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/galactic/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('SESSION_MANAGER', 'local/haoxu-VirtualBox:@/tmp/.ICE-unix/1434,unix/haoxu-VirtualBox:/tmp/.ICE-unix/1434'), ('INVOCATION_ID', '5079d081fc6e4e73a462acecc5599bb0'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'es_ES.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/2514e317_785d_482b_9a71_3d754e4734fe'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'es_ES.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'es_ES.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.156'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('ROS_DOMAIN_ID', '1'), ('AMENT_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/opt/ros/galactic'), ('SHELL', '/bin/bash'), ('LC_NAME', 'es_ES.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'es_ES.UTF-8'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'es_ES.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system/lib/python3.8/site-packages:/opt/ros/galactic/lib/python3.8/site-packages'), ('LC_NUMERIC', 'es_ES.UTF-8'), ('LC_PAPER', 'es_ES.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6003'), ('CMAKE_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/opt/ros/galactic')]), 'shell': False}
[0.506215] (-) TimerEvent: {}
[0.510382] (my_world) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.510989] (my_world) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.512197] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/lib/my_world/turtlebot3_drive\n'}
[0.512525] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//launch/turtlebot3_my_world.launch.py\n'}
[0.516129] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/apartment/materials/textures/apartment_diffuse.jpg\n'}
[0.516502] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/apartment/materials/textures/apartment_spec.jpg\n'}
[0.516782] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/apartment/meshes/apartment.dae\n'}
